
-------------------------------------NaN Values-------------------------------------
Number of NaN values in column color = 19
Number of NaN values in column director_name = 104
Number of NaN values in column num_critic_for_reviews = 50
Number of NaN values in column duration = 15
Number of NaN values in column director_facebook_likes = 104
Number of NaN values in column actor_3_facebook_likes = 23
Number of NaN values in column actor_2_name = 13
Number of NaN values in column actor_1_facebook_likes = 7
Number of NaN values in column gross = 884
Number of NaN values in column genres = 0
Number of NaN values in column actor_1_name = 7
Number of NaN values in column movie_title = 0
Number of NaN values in column num_voted_users = 0
Number of NaN values in column cast_total_facebook_likes = 0
Number of NaN values in column actor_3_name = 23
Number of NaN values in column facenumber_in_poster = 13
Number of NaN values in column num_user_for_reviews = 21
Number of NaN values in column language = 14
Number of NaN values in column country = 5
Number of NaN values in column content_rating = 303
Number of NaN values in column budget = 492
Number of NaN values in column title_year = 108
Number of NaN values in column actor_2_facebook_likes = 13
Number of NaN values in column imdb_score = 0
Number of NaN values in column aspect_ratio = 329
Number of NaN values in column movie_facebook_likes = 0
We will drop all NaN values.
Total Number of Entries remaining = 3769
|    | color   | director_name     |   num_critic_for_reviews |   duration |   director_facebook_likes |   actor_3_facebook_likes | actor_2_name     |   actor_1_facebook_likes |       gross | genres                          | actor_1_name    | movie_title                              |   num_voted_users |   cast_total_facebook_likes | actor_3_name         |   facenumber_in_poster |   num_user_for_reviews | language   | country   | content_rating   |    budget |   title_year |   actor_2_facebook_likes |   imdb_score |   aspect_ratio |   movie_facebook_likes |
|---:|:--------|:------------------|-------------------------:|-----------:|--------------------------:|-------------------------:|:-----------------|-------------------------:|------------:|:--------------------------------|:----------------|:-----------------------------------------|------------------:|----------------------------:|:---------------------|-----------------------:|-----------------------:|:-----------|:----------|:-----------------|----------:|-------------:|-------------------------:|-------------:|---------------:|-----------------------:|
|  0 | Color   | James Cameron     |                      723 |        178 |                         0 |                      855 | Joel David Moore |                     1000 | 7.60506e+08 | Action|Adventure|Fantasy|Sci-Fi | CCH Pounder     | Avatar                                   |            886204 |                        4834 | Wes Studi            |                      0 |                   3054 | English    | USA       | PG-13            | 2.37e+08  |         2009 |                      936 |          7.9 |           1.78 |                  33000 |
|  1 | Color   | Gore Verbinski    |                      302 |        169 |                       563 |                     1000 | Orlando Bloom    |                    40000 | 3.09404e+08 | Action|Adventure|Fantasy        | Johnny Depp     | Pirates of the Caribbean: At World's End |            471220 |                       48350 | Jack Davenport       |                      0 |                   1238 | English    | USA       | PG-13            | 3e+08     |         2007 |                     5000 |          7.1 |           2.35 |                      0 |
|  2 | Color   | Sam Mendes        |                      602 |        148 |                         0 |                      161 | Rory Kinnear     |                    11000 | 2.00074e+08 | Action|Adventure|Thriller       | Christoph Waltz | Spectre                                  |            275868 |                       11700 | Stephanie Sigman     |                      1 |                    994 | English    | UK        | PG-13            | 2.45e+08  |         2015 |                      393 |          6.8 |           2.35 |                  85000 |
|  3 | Color   | Christopher Nolan |                      813 |        164 |                     22000 |                    23000 | Christian Bale   |                    27000 | 4.48131e+08 | Action|Thriller                 | Tom Hardy       | The Dark Knight Rises                    |           1144337 |                      106759 | Joseph Gordon-Levitt |                      0 |                   2701 | English    | USA       | PG-13            | 2.5e+08   |         2012 |                    23000 |          8.5 |           2.35 |                 164000 |
|  5 | Color   | Andrew Stanton    |                      462 |        132 |                       475 |                      530 | Samantha Morton  |                      640 | 7.30587e+07 | Action|Adventure|Sci-Fi         | Daryl Sabara    | John Carter                              |            212204 |                        1873 | Polly Walker         |                      1 |                    738 | English    | USA       | PG-13            | 2.637e+08 |         2012 |                      632 |          6.6 |           2.35 |                  24000 |
Epoch 1: Training Loss = 401301175.000, (Predicted: 0.0, Actual: 2009.0), Testing Error = 400015500.000 , (Predicted: 2.6382789611816406, Actual: 1986.0)
Epoch 2: Training Loss = 399875050.000, (Predicted: 3.7902302742004395, Actual: 2009.0), Testing Error = 397105050.000 , (Predicted: 5.672894477844238, Actual: 1986.0)
Epoch 3: Training Loss = 397619925.000, (Predicted: 11.318641662597656, Actual: 2009.0), Testing Error = 395033800.000 , (Predicted: 11.408432006835938, Actual: 1986.0)
Epoch 4: Training Loss = 394201500.000, (Predicted: 19.142717361450195, Actual: 2009.0), Testing Error = 394233425.000 , (Predicted: 11.219982147216797, Actual: 1986.0)
Epoch 5: Training Loss = 389465875.000, (Predicted: 26.953428268432617, Actual: 2009.0), Testing Error = 390544025.000 , (Predicted: 33.22203063964844, Actual: 1986.0)
Epoch 6: Training Loss = 383243750.000, (Predicted: 42.25123596191406, Actual: 2009.0), Testing Error = 380139575.000 , (Predicted: 73.54334259033203, Actual: 1986.0)
Epoch 7: Training Loss = 375259300.000, (Predicted: 62.56285858154297, Actual: 2009.0), Testing Error = 365955175.000 , (Predicted: 154.10829162597656, Actual: 1986.0)
Epoch 8: Training Loss = 365176300.000, (Predicted: 76.77289581298828, Actual: 2009.0), Testing Error = 343952500.000 , (Predicted: 197.92369079589844, Actual: 1986.0)
Epoch 9: Training Loss = 353243675.000, (Predicted: 86.18743896484375, Actual: 2009.0), Testing Error = 324579700.000 , (Predicted: 243.14584350585938, Actual: 1986.0)
Epoch 10: Training Loss = 339387025.000, (Predicted: 109.72288513183594, Actual: 2009.0), Testing Error = 318883350.000 , (Predicted: 278.26104736328125, Actual: 1986.0)
Epoch 11: Training Loss = 323709700.000, (Predicted: 234.5677490234375, Actual: 2009.0), Testing Error = 306351000.000 , (Predicted: 284.58203125, Actual: 1986.0)
Epoch 12: Training Loss = 306438425.000, (Predicted: 281.3075256347656, Actual: 2009.0), Testing Error = 307197850.000 , (Predicted: 299.1629333496094, Actual: 1986.0)
Epoch 13: Training Loss = 287293925.000, (Predicted: 333.4385681152344, Actual: 2009.0), Testing Error = 283603325.000 , (Predicted: 382.880615234375, Actual: 1986.0)
Epoch 14: Training Loss = 266694975.000, (Predicted: 390.61767578125, Actual: 2009.0), Testing Error = 248563175.000 , (Predicted: 423.3992919921875, Actual: 1986.0)
Epoch 15: Training Loss = 244821250.000, (Predicted: 464.2622375488281, Actual: 2009.0), Testing Error = 241518050.000 , (Predicted: 543.50634765625, Actual: 1986.0)
Epoch 16: Training Loss = 222202300.000, (Predicted: 597.67333984375, Actual: 2009.0), Testing Error = 208093450.000 , (Predicted: 500.4410400390625, Actual: 1986.0)
Epoch 17: Training Loss = 199053112.500, (Predicted: 561.1439208984375, Actual: 2009.0), Testing Error = 171976137.500 , (Predicted: 724.5193481445312, Actual: 1986.0)
Epoch 18: Training Loss = 175278162.500, (Predicted: 662.9974365234375, Actual: 2009.0), Testing Error = 145861500.000 , (Predicted: 883.6559448242188, Actual: 1986.0)
Epoch 19: Training Loss = 151547387.500, (Predicted: 908.3212890625, Actual: 2009.0), Testing Error = 129148012.500 , (Predicted: 811.3267211914062, Actual: 1986.0)
Epoch 20: Training Loss = 129371637.500, (Predicted: 1038.2305908203125, Actual: 2009.0), Testing Error = 99867031.250 , (Predicted: 1187.412841796875, Actual: 1986.0)
Epoch 21: Training Loss = 108133362.500, (Predicted: 1123.9071044921875, Actual: 2009.0), Testing Error = 113255037.500 , (Predicted: 863.7142333984375, Actual: 1986.0)
Epoch 22: Training Loss = 88793125.000, (Predicted: 1226.1480712890625, Actual: 2009.0), Testing Error = 133473362.500 , (Predicted: 896.2555541992188, Actual: 1986.0)
Epoch 23: Training Loss = 70401825.000, (Predicted: 930.7974853515625, Actual: 2009.0), Testing Error = 102717275.000 , (Predicted: 863.0717163085938, Actual: 1986.0)
